Year,Total
1918,25271
1919,336789
1920,15080
1921,21874
1922,209186
1923,24151
1924,249063
1925,89505
1926,89963
1927,14973
1928,89323
1929,111216
1930,32177
1931,244793
1932,55087
1933,37946
1934,23825
1935,2557
1936,82742
1937,338030
1938,711603
1939,173673
1940,191927
1941,528540
1942,131857
1943,208481
1944,292460
1945,87713
1946,110193
1947,32399
1948,119571
1949,576993
1950,281449
1951,9659
1952,196008
1953,135211
1954,52157
1955,81464
1956,281056
1957,6267
1958,93483
1959,35597
1960,8078
1961,78328
1962,1824
1963,7126
1964,7287
1965,21989
1966,28309
1967,9395
1968,400400
1969,29200
1970,52432
1971,63060
1972,49292
1973,10691
1974,18394
1975,4898
1976,22475
1977,15738
1978,7839
1979,194601
