"FID_","SRC_AGENCY","FIRE_ID","FIRENAME","LATITUDE","LONGITUDE","YEAR_","MONTH_","DAY_","REP_DATE","ATTK_DATE","OUT_DATE","DECADE","SIZE_HA","CAUSE","PROTZONE","FIRE_TYPE","MORE_INFO","CFS_REF_ID","CFS_NOTE1","CFS_NOTE2","ACQ_DATE"
,"BC","V00155"," ",50.039000,-121.641000,1950,7,4,1950-07-04 0:00:00,,,"1950-1959",318.400000,"H"," ","Fire"," ","BC-1950-V00155"," "," ",2017-04-12 0:00:00
,"BC","V00157"," ",50.626000,-126.232000,1950,6,5,1950-06-05 0:00:00,,,"1950-1959",248.800000,"H"," ","Fire"," ","BC-1950-V00157"," "," ",2017-04-12 0:00:00
,"BC","V00183"," ",49.789000,-123.144000,1950,7,16,1950-07-16 0:00:00,,,"1950-1959",364.200000,"H"," ","Fire"," ","BC-1950-V00183"," "," ",2017-04-12 0:00:00
,"BC","R00029"," ",59.318000,-133.228000,1950,6,22,1950-06-22 0:00:00,,,"1950-1959",5179.900000,"L"," ","Fire"," ","BC-1950-R00029"," "," ",2017-04-12 0:00:00
,"BC","R00034"," ",54.510000,-126.278000,1950,7,4,1950-07-04 0:00:00,,,"1950-1959",331.400000,"H"," ","Fire"," ","BC-1950-R00034"," "," ",2017-04-12 0:00:00
,"BC","G00008"," ",55.655000,-121.678000,1950,5,9,1950-05-09 0:00:00,,,"1950-1959",643.400000,"H"," ","Fire"," ","BC-1950-G00008"," "," ",2017-04-12 0:00:00
,"BC","G00012"," ",58.847000,-125.229000,1950,5,5,1950-05-05 0:00:00,,,"1950-1959",841.700000,"H"," ","Fire"," ","BC-1950-G00012"," "," ",2017-04-12 0:00:00
,"BC","G00014"," ",56.568000,-120.980000,1950,5,23,1950-05-23 0:00:00,,,"1950-1959",256.900000,"H"," ","Fire"," ","BC-1950-G00014"," "," ",2017-04-12 0:00:00
,"BC","G00017"," ",55.655000,-120.980000,1950,6,1,1950-06-01 0:00:00,,,"1950-1959",647.400000,"H"," ","Fire"," ","BC-1950-G00017"," "," ",2017-04-12 0:00:00
,"BC","G00019"," ",56.568000,-120.927000,1950,6,1,1950-06-01 0:00:00,,,"1950-1959",76922.703000,"H"," ","Fire"," ","BC-1950-G00019"," "," ",2017-04-12 0:00:00
,"BC","G00020"," ",55.934000,-121.376000,1950,6,2,1950-06-02 0:00:00,,,"1950-1959",2428.100000,"H"," ","Fire"," ","BC-1950-G00020"," "," ",2017-04-12 0:00:00
,"BC","G00022"," ",55.539000,-120.876000,1950,6,2,1950-06-02 0:00:00,,,"1950-1959",1424.400000,"H"," ","Fire"," ","BC-1950-G00022"," "," ",2017-04-12 0:00:00
,"BC","G00026"," ",59.876000,-131.922000,1950,6,4,1950-06-04 0:00:00,,,"1950-1959",12949.900000,"H"," ","Fire"," ","BC-1950-G00026"," "," ",2017-04-12 0:00:00
