Province,Year,Area,Area_Norm
AB,1946,117900.0,0.0018355422633995365
AB,1947,2400.0,3.7364728008133056e-05
AB,1948,4900.0,7.628631968327166e-05
AB,1949,0.0,0.0
AB,1950,94324.1,0.0014684976421299764
AB,1951,1570.2,2.4445873299321052e-05
AB,1952,65528.0,0.001020181623715393
AB,1953,400329.39999999997,0.006232582976941291
AB,1954,364.2,5.670097475234191e-06
AB,1955,46190.90000000001,0.0007191293395628639
AB,1956,647.5,1.0080692243860897e-05
AB,1957,0.0,0.0
AB,1958,0.0,0.0
AB,1959,28280.03,0.00044028151208826794
AB,1960,11372.9,0.0001770605479848735
AB,1961,96690.51119,0.00150533943815904
AB,1962,991.7761199999999,1.5440602070317302e-05
AB,1963,5598.90555,8.716732625790692e-05
AB,1964,5135.35382,7.995045779576129e-05
AB,1965,23193.94717,0.00036109813643419057
AB,1966,39166.127739999996,0.0006097632125570395
AB,1967,6550.027370000001,0.0001019749963024488
AB,1968,429961.5382700001,0.006693914971423768
AB,1969,30211.82271,0.00047035689091211975
AB,1970,146584.81487,0.00228212572405837
AB,1971,225160.22128,0.003505437677657605
AB,1972,49239.17353000001,0.0007665868026223813
AB,1973,8745.22929,0.00013615129741233688
AB,1974,16378.55701,0.0002549918032684796
AB,1975,2637.24558,4.105831824472963e-05
AB,1976,16357.752119999997,0.00025466789949510907
AB,1977,12964.329819999999,0.00020183694063834523
AB,1978,4775.6954399999995,7.435106715220054e-05
AB,1979,274552.10228,0.0042744019273972195
AB,1980,958837.2,0.014927787992533281
AB,1981,2002932.9999999998,0.031182936151464148
AB,1982,706272.0100000001,0.010995692313919765
AB,1983,2611.6000000000004,4.065905152751679e-05
AB,1984,87458.19999999998,0.0013616049396170424
AB,1985,19690.4,0.00030655268348805964
AB,1986,932.8,1.4522424285827713e-05
AB,1987,33130.09999999999,0.0005157904897426036
AB,1988,11673.5,0.0001817404801678922
AB,1989,7069.200000000001,0.00011005780634795593
AB,1990,55273.40000000001,0.0008605314821186425
AB,1991,3668.5999999999995,5.711510048776538e-05
AB,1992,773.6,1.204389732795489e-05
AB,1993,23947.699999999997,0.00037283304038348663
AB,1994,93721.9,0.0014591222091272689
AB,1995,338759.3,0.005274020460302312
AB,1996,14528.0,0.00022618115354256543
AB,1997,3810.0,5.9316505712911224e-05
AB,1998,741907.3,0.011550485196561823
AB,1999,183631.49,0.0028588919489909185
AB,2000,21748.4,0.00033859293775503375
AB,2001,164102.6,0.00255485375601144
AB,2002,497159.50000000006,0.007740095622566429
AB,2003,202867.16,0.003158365106326004
AB,2004,428402.22,0.006669638511825157
AB,2005,88854.84,0.001383348720335909
AB,2006,131593.62,0.002048733257877341
AB,2007,323180.2,0.005031475112755851
AB,2008,33370.32,0.0005195303876434844
AB,2009,90954.63,0.0014160395879293246
AB,2010,89842.30000000002,0.0013987221263021222
AB,2011,892349.8999999999,0.013892671375660304
AB,2012,722941.8600000001,0.011255219151914088
AB,2013,52552.899999999994,0.0008181770060577564
AB,2014,271321.86,0.004224111458983648
AB,2015,794308.8899999999,0.01236630651220503
AB,2016,639238.3,0.0099520688382839
AB,2017,127734.6,0.001988653577594864
BC,1946,0.0,0.0
BC,1947,0.0,0.0
BC,1948,0.0,0.0
BC,1949,0.0,0.0
BC,1950,336748.90300000005,0.0036397967868082746
BC,1951,160148.00099999996,0.001730981672874427
BC,1952,51352.0,0.0005550451476784128
BC,1953,12609.599999999999,0.0001362925941378274
BC,1954,1715.7,1.8544379184293753e-05
BC,1955,19000.5,0.00020536951488673628
BC,1956,214677.49800000005,0.002320371233460083
BC,1957,8379.4,9.056989621546369e-05
BC,1958,838323.9920000002,0.009061140051838227
BC,1959,101140.101,0.0010931866781382338
BC,1960,105036.40000000002,0.001135300361224662
BC,1961,470965.6,0.005090496397481155
BC,1962,14528.199999999997,0.00015703004585023982
BC,1963,13284.800000000003,0.00014359058610917159
BC,1964,906.3,9.79586807409537e-06
BC,1965,112051.49900000003,0.0012111240226289634
BC,1966,16491.600000000002,0.00017825172451809692
BC,1967,88590.601,0.0009575436831080452
BC,1968,12644.8,0.00013667305817424819
BC,1969,154558.29999999993,0.0016705646216004127
BC,1970,93667.001,0.0010124126499968654
BC,1971,346489.89999999997,0.0037450836912793746
BC,1972,19123.8,0.00020670221987794887
BC,1973,26249.000000000004,0.0002837159230684425
BC,1974,10679.699999999999,0.000115433004822814
BC,1975,18733.199999999997,0.00020248036611016592
BC,1976,54301.0,0.0005869198193660518
BC,1977,1143.7,1.2361838592456004e-05
BC,1978,44937.8,0.00048571638567812314
BC,1979,17347.7,0.00018750499899479673
BC,1980,58138.6,0.0006283990462458359
BC,1981,99533.89799999999,0.0010758258123231435
BC,1982,343531.4,0.0037131063375364522
BC,1983,62634.5,0.0006769935991249327
BC,1984,13578.6,0.00014676616377679732
BC,1985,298298.006,0.0032241949834952107
BC,1986,10550.7,0.00011403869059843103
BC,1987,24420.600000000002,0.0002639534104493583
BC,1988,5858.000000000001,6.331699787934535e-05
BC,1989,17048.0,0.0001842656503665209
BC,1990,67131.6,0.0007256011223689075
BC,1991,19311.2,0.00020872775852639363
BC,1992,24428.300000000003,0.00026403663695732536
BC,1993,1249.8,1.3508635020417516e-05
BC,1994,22317.300000000003,0.0002412196034094766
BC,1995,45238.3,0.0004889643812163176
BC,1996,18268.0,0.00019745218799246855
BC,1997,1380.0,1.4915919609678487e-05
BC,1998,70576.80000000002,0.0007628390399335919
BC,1999,7373.0,7.969208353779672e-05
BC,2000,13808.6,0.0001492521503784104
BC,2001,11711.4,0.00012658427602665843
BC,2002,5151.0,5.56752912387347e-05
BC,2003,274858.5,0.0029708458623455176
BC,2004,212703.7,0.002299037166580558
BC,2005,33532.5,0.00036244063355908975
BC,2006,130443.59999999999,0.0014099175733312003
BC,2007,26639.4,0.0002879356151087457
BC,2008,11145.300000000001,0.00012046550639547076
BC,2009,235734.27999999997,0.002547966354873506
BC,2010,330116.59999999986,0.0035681106285654976
